account length,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,customer service calls,churn_True,international plan_yes,voice mail plan_yes
128,25,265,110,197,99,244,91,10,3,1,0,0,1
107,26,161,123,195,103,254,103,13,3,1,0,0,1
137,0,243,114,121,110,162,104,12,5,0,0,0,0
84,0,299,71,61,88,196,89,6,7,2,0,1,0
75,0,166,113,148,122,186,121,10,3,3,0,1,0
118,0,223,98,220,101,203,118,6,6,0,0,1,0
121,24,218,88,348,108,212,118,7,7,3,0,0,1
147,0,157,79,103,94,211,96,7,6,0,0,1,0
117,0,184,97,351,80,215,90,8,4,1,0,0,0
141,37,258,84,222,111,326,97,11,5,0,0,1,1
65,0,129,137,228,83,208,111,12,6,4,1,0,0
74,0,187,127,163,148,196,94,9,5,0,0,0,0
168,0,128,96,104,71,141,128,11,2,1,0,0,0
95,0,156,88,247,75,192,115,12,5,3,0,0,0
62,0,120,70,307,76,203,99,13,6,4,0,0,0
161,0,332,67,317,97,160,128,5,9,4,1,0,0
85,27,196,139,280,90,89,75,13,4,1,0,0,1
93,0,190,114,218,111,129,121,8,3,3,0,0,0
76,33,189,66,212,65,165,108,10,5,1,0,0,1
73,0,224,90,159,88,192,74,13,2,1,0,0,0
147,0,155,117,239,93,208,133,10,4,0,0,0,0
77,0,62,89,169,121,209,64,5,6,5,1,0,0
111,0,110,103,137,102,189,105,7,6,2,0,0,0
132,0,81,86,245,72,237,115,10,2,0,0,0,0
174,0,124,76,277,112,250,115,15,5,3,0,0,0
57,39,213,115,191,112,182,115,9,3,0,0,0,1
54,0,134,73,155,100,102,68,14,4,3,0,0,0
20,0,190,109,258,84,181,102,6,6,0,0,0,0
49,0,119,117,215,109,178,90,11,1,1,0,0,0
142,0,84,95,136,63,250,148,14,6,2,0,0,0
75,0,226,105,201,107,246,98,10,5,1,0,0,0
12,0,249,118,252,119,280,90,11,3,1,1,0,0
57,25,176,94,195,75,213,116,8,4,0,0,0,1
72,37,220,80,217,102,152,71,14,6,3,0,0,1
36,30,146,128,162,80,129,109,14,6,0,0,0,1
78,0,130,64,223,116,227,108,10,5,1,0,0,0
136,33,203,106,187,99,101,107,10,6,3,0,1,1
149,0,140,94,271,92,188,108,11,9,1,0,0,0
98,0,126,102,166,85,187,135,9,2,3,0,0,0
34,0,124,82,282,98,311,78,10,4,2,0,0,0
160,0,85,77,165,110,178,92,9,4,3,0,0,0
64,0,154,67,225,118,265,86,3,3,1,0,0,0
59,28,120,97,213,92,163,116,8,5,2,0,0,1
65,0,211,120,162,122,134,118,13,5,3,0,0,0
142,0,187,133,134,74,242,127,7,5,2,0,0,0
119,0,159,114,231,117,143,91,8,3,5,1,0,0
97,24,133,135,217,58,70,79,11,3,1,0,0,1
52,0,191,108,269,96,236,87,7,5,3,0,0,0
60,0,220,57,211,115,249,129,6,3,1,0,0,0
10,0,186,112,190,66,282,57,11,6,2,0,0,0
96,0,160,117,267,67,228,68,9,5,2,0,0,0
87,0,151,83,219,116,203,127,9,3,5,1,0,0
81,0,175,67,249,85,270,98,10,3,1,0,0,0
141,0,126,98,180,62,140,128,8,2,1,0,0,0
121,30,198,129,75,77,181,77,5,3,3,1,0,1
125,0,229,103,177,126,189,95,12,8,1,0,0,0
174,0,192,97,169,94,166,54,11,4,1,0,0,0
116,34,268,83,178,142,166,106,11,3,2,0,0,1
74,33,193,91,246,96,138,92,14,3,2,0,0,1
